@Alvarillo_zgz|[40.4777945, -3.7035075]|Thu Jul 05 11:03:43 +0000 2018|b'Otro a\xc3\xb1o m\xc3\xa1s comienza la aventura!!! Pars mi es un placer poder disfrutar de esta fiesta aunque sea currando sin pa\xe2\x80\xa6 https://t.co/qoKnBHy5yG'
@Guineus|[40.4777945, -3.7035075]|Thu Jul 05 11:03:45 +0000 2018|b'\xf0\x9f\x8f\xb3\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x8c\x88 Orgullosa Schweppes \xf0\x9f\x8c\x88 en Madrid, Spain https://t.co/akxnkN8wts'
@garrido__sg|[40.4777945, -3.7035075]|Thu Jul 05 11:03:51 +0000 2018|b'\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2'
@anzobg|[40.4777945, -3.7035075]|Thu Jul 05 11:03:54 +0000 2018|b'@pccomponentes #PcDaysBrutalesPcComponentes la necesito!'
@kokehtz|[40.4777945, -3.7035075]|Thu Jul 05 11:03:57 +0000 2018|b'@sbernd78 An earthquake lol'
@trendinaliaES|[40.4777945, -3.7035075]|Thu Jul 05 11:04:03 +0000 2018|b'@JovenesIU la 1\xc2\xaa menci\xc3\xb3n de #IUContraLaPobreza aparece en tu TL. \xc2\xa1Ahora es Tendencia en Espa\xc3\xb1a! #trndnl'
@trendinaliaES|[40.4777945, -3.7035075]|Thu Jul 05 11:04:04 +0000 2018|b'631.380 personas podr\xc3\xadan haber visto #IUContraLaPobreza desde su 1\xc2\xaa menci\xc3\xb3n hasta convertirse en Tendencia. #trndnl'
@trendinaliaES|[40.4777945, -3.7035075]|Thu Jul 05 11:04:04 +0000 2018|b'#Top3Apps mientras #IUContraLaPobreza se convert\xc3\xada en Tendencia  Twitter for Android 52% Twitter Web Client 28% Twitter for iPhone 7%'
@trendinaliaES|[40.4777945, -3.7035075]|Thu Jul 05 11:04:04 +0000 2018|b'El tuit con m\xc3\xa1s repercusi\xc3\xb3n de la Tendencia #IUContraLaPobreza fue de @iunida: https://t.co/2cPtftNTXw (57 RTs) #trndnl'
@trendinaliaES|[40.4777945, -3.7035075]|Thu Jul 05 11:04:03 +0000 2018|b'123 cuentas y 128 tuits (114 RTs) en 2 horas convirtieron #IUContraLaPobreza en Tendencia. #trndnl'
@Licantropismo|[40.319903499999995, -3.893226]|Thu Jul 05 11:04:09 +0000 2018|b'@SergioGon13 skrrrrrrttttt no te he visto venir a limpiarme el culo al hospital'
@EmilioVinagre|[40.4777945, -3.7035075]|Thu Jul 05 11:04:10 +0000 2018|b'Pues aqu\xc3\xad por no tener,no tenemos ni calendario de liga. https://t.co/9DaICcv2Xq'
@Hinojosa_20|[40.319903499999995, -3.893226]|Thu Jul 05 11:04:10 +0000 2018|b'@_falloutirene queda raro, igual van a cambiar todo y han empezado por ahi jajajja'
@luisamaldonadod|[40.4777945, -3.7035075]|Thu Jul 05 11:04:13 +0000 2018|b'Una proyecci\xc3\xb3n demogr\xc3\xa1fica q vislumbra una sociedad conservadora, menos productiva, con menos delincuencia y m\xc3\xa1s d\xc3\xb3\xe2\x80\xa6 https://t.co/DwUwODrnyL'
@SandraMureddu9|[40.328899, -3.7695875]|Thu Jul 05 11:04:14 +0000 2018|b'@juanpepimen89 @fselalamo   fichajazo !!!! Mucha suerte juanpe!!!!! Dale duro a la bola \xe2\x9a\xbd\xef\xb8\x8f\xf0\x9f\x92\xa8 https://t.co/mRv0XSyYOp'
@brunosan|[40.3005505, -3.665667]|Thu Jul 05 11:04:15 +0000 2018|b'Whishing there was more #diversity on the program though. \xf0\x9f\x98\xa7 https://t.co/DpYJlGRvMX'
@Atizalabrasa|[40.4777945, -3.7035075]|Thu Jul 05 11:04:24 +0000 2018|b'Compas de @CGTSTAP se acercan a Alenza y junto a la gestora se encuentran gente del @cgttcmadrid metida en lo que e\xe2\x80\xa6 https://t.co/8XppDF3P7D'
@Alfa261268|[40.4777945, -3.7035075]|Thu Jul 05 11:04:24 +0000 2018|b'@GrabielRufi @_ElAguijon Que malas son las drogas,,,,,,,'
@dannyzambrano__|[40.4777945, -3.7035075]|Thu Jul 05 11:04:25 +0000 2018|b'Juventud \xf0\x9f\x98\xb1 divino #tesoro \xf0\x9f\x8c\x9f y con #zarcillos (#pendientes) \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x98\x82. . . . #dannyzambrano #conectado2.0 \xe2\x99\xbb\xef\xb8\x8f #pasado\xe2\x80\xa6 https://t.co/AQKYFyGpnz'
@AnaGlezPalacios|[40.6136365, -3.283706]|Thu Jul 05 11:04:31 +0000 2018|b'Proteger a los riders https://t.co/EoR8aAZtY3 #NoEsColaborativo'
@sezesa|[40.4777945, -3.7035075]|Thu Jul 05 11:04:31 +0000 2018|b'Lo dem\xc3\xa1s ya me vale madre'
@fradegz|[40.4777945, -3.7035075]|Thu Jul 05 11:04:35 +0000 2018|b'https://t.co/sXSNNAFLXn'
@kiansbangerz|[40.4777945, -3.7035075]|Thu Jul 05 11:04:40 +0000 2018|b'SISISIIIISIIII https://t.co/7K2zD9Rgv8'
@RaySlayer_|[40.2887025, -3.7918639999999995]|Thu Jul 05 11:04:43 +0000 2018|b'@Threule @Pendrat99 Pues nada macho para el siguiente'
@chrisrjreid|[40.4777945, -3.7035075]|Thu Jul 05 11:04:43 +0000 2018|b'To be honest this so called internal election of the pp is really a farce! Either way the results go,it is fast becoming an irrelevance !!'
@_CEIM_|[40.4777945, -3.7035075]|Thu Jul 05 11:04:43 +0000 2018|b'El presidente de @_CEIM_ @LazaroJp explica ante los asistentes de @CursosVeranoUCM c\xc3\xb3mo la revoluci\xc3\xb3n digital est\xc3\xa1\xe2\x80\xa6 https://t.co/RUFvzWweBo'
@emiliodebenito|[40.4777945, -3.7035075]|Thu Jul 05 11:04:46 +0000 2018|b'Los casos de EPOC aumentan un 70% entre las mujeres en 10 a\xc3\xb1os https://t.co/p6AZfyoTyu'
@EstelaLenEspada|[40.4777945, -3.7035075]|Thu Jul 05 11:04:46 +0000 2018|b'Acaba de publicar una foto en Community of Madrid https://t.co/gm3q1MI0IV'
@miquel_silvia|[40.4777945, -3.7035075]|Thu Jul 05 11:04:50 +0000 2018|b'Gr\xc3\xa0cies a tots per fer-ho possible!!! Ja hem pogut explicar el nostre projecte ! https://t.co/0O4F16eIuK'
@Exbrigadier|[40.4777945, -3.7035075]|Thu Jul 05 11:04:50 +0000 2018|b'@AdolfitoPetro @JuanPoe @petrogustavo Esto es mentira, matador fue amenazado de muerte y hasta el d\xc3\xada de hoy no se\xe2\x80\xa6 https://t.co/MmmAqLnVlO'
@Hinojosa_20|[40.319903499999995, -3.893226]|Thu Jul 05 11:04:53 +0000 2018|b'@_falloutirene como snapchat'
@Convrtidordepar|[40.578169, -4.096472]|Thu Jul 05 11:04:54 +0000 2018|b'@GuilleAlfonsin Una caja de 3 velocidades t\xc3\xadpica americana de los 60 y 70. Ya te puedes volver loco. Ahora explica\xe2\x80\xa6 https://t.co/AEEYHnZq5l'
@Thrashassacre|[40.4462525, -3.9899359999999997]|Thu Jul 05 11:04:54 +0000 2018|b'@Toadzerzer @swallowtheskies dkdjdldjdkdjdtsd marre de nous x)'
@emiliodebenito|[40.4777945, -3.7035075]|Thu Jul 05 11:04:56 +0000 2018|b'\xc2\xbfEstuviste en el preg\xc3\xb3n del Orgullo? B\xc3\xbascate en esta foto gigante https://t.co/DGmmDEsIpq'
@joaquincardea|[40.328899, -3.7695875]|Thu Jul 05 11:04:56 +0000 2018|b'Tal dia como hoy en 2008 hace 10 a\xc3\xb1os cuando Espa\xc3\xb1a ganaba la Eurocopa de Austria y Suiza, el mumero 1 de los 40 er\xe2\x80\xa6 https://t.co/qVWDuzSYs5'
@luismoran2014|[40.4777945, -3.7035075]|Thu Jul 05 11:05:06 +0000 2018|b'Estamos caminando hacia la criptoeconomia Principales usos de   #BLOCKCHAIN potencia la econom\xc3\xada del trueque. por\xe2\x80\xa6 https://t.co/VgdSOCCn8J'
@conchacornejo|[40.4278585, -3.7180445]|Thu Jul 05 11:05:08 +0000 2018|b'Ya va Kennedy en el helic\xc3\xb3ptero ~_~'
@jose76617288|[40.524724, -3.8161535]|Thu Jul 05 11:05:11 +0000 2018|b'@xiscoturismo Circuito Mallorca,de Llucmayor.Desde las tres de la ma\xc3\xb1ana,hasta las cinco y media de la madrugada;in\xe2\x80\xa6 https://t.co/Yx4Ah5YxHo'
@VgGlover|[40.4777945, -3.7035075]|Thu Jul 05 11:05:14 +0000 2018|b'@CoreDesign_com Is nothing sacred anymore?! \xf0\x9f\xa4\xa4'
@davidguerra1972|[40.496023, -3.3656230000000003]|Thu Jul 05 11:05:23 +0000 2018|b'Extraordinario,  que una temporada m\xc3\xa1s, siga co. Nosotros uno de los mejores jugadores de la competici\xc3\xb3n, a romperl\xe2\x80\xa6 https://t.co/FP859i3f5r'
@Andy88834880|[40.4777945, -3.7035075]|Thu Jul 05 11:05:30 +0000 2018|b'Incre\xc3\xadble. El nuevo logo de Radio Televisi\xc3\xb3n Espa\xc3\xb1ola. La televisi\xc3\xb3n de PODEMOS, lo va a ver su puta madre... https://t.co/J253YEdFQ2'
@zapateroairon|[40.658362, -4.0214725]|Thu Jul 05 11:05:31 +0000 2018|b'@NengoHD @Steven66434065 Dale donde le duele'
